prob,gene
221898_at,PDPN
214651_s_at,HOXA10-HOXA9_///_HOXA9_///_MIR196B
227399_at,VGLL3
223737_x_at,CHST9
213429_at,BICC1
227550_at,GFRA1
206432_at,HAS2
213640_s_at,LOX
225502_at,DOCK8
205668_at,LY75
228912_at,VIL1
212667_at,SPARC
204914_s_at,SOX11
225846_at,ESRP1
206912_at,FOXE1
35974_at,LRMP
205848_at,GAS2
206120_at,CD33
232263_at,SLC6A15
202790_at,CLDN7
230276_at,FAM49A
229978_at,SHISA9
1556200_a_at,C10orf90
206837_at,ALX1
209169_at,GPM6B
221305_s_at,UGT1A8_///_UGT1A9
232202_at,FAM83B
210073_at,ST8SIA1
225016_at,APCDD1
202376_at,SERPINA3
209842_at,SOX10
1566764_at,MACC1
231517_at,ZYG11A
229778_at,C12orf39
205514_at,ZNF415
205885_s_at,ITGA4
227198_at,AFF3
212588_at,PTPRC
208257_x_at,PSG1
235049_at,ADCY1
231337_at,LOC100505498_///_TEX41
1569454_a_at,LOC283352
235355_at,CSRNP3
207002_s_at,PLAGL1
205174_s_at,QPCT
201859_at,SRGN
242005_at,LOC100506377
206243_at,TIMP4
218960_at,TMPRSS4
204750_s_at,DSC2
231192_at,LPAR3
228492_at,USP9Y
209755_at,NMNAT2
225241_at,CCDC80
235737_at,TSLP
212587_s_at,PTPRC
203325_s_at,COL5A1
228303_at,GALNT6
211024_s_at,NKX2-1
227688_at,LRCH2
224212_s_at,PCDHA1_///_PCDHA10_///_PCDHA11_///_PCDHA12_///_PCDHA13_///_PCDHA2_///_PCDHA3_///_PCDHA4_///_PCDHA5_///_PCDHA6_///_PCDHA7_///_PCDHA8_///_PCDHA9_///_PCDHAC1_///_PCDHAC2
204411_at,KIF21B
229435_at,GLIS3
232136_s_at,CTTNBP2
1557014_a_at,FAM201A
239294_at,---
229390_at,FAM26F
206504_at,CYP24A1
212999_x_at,HLA-DQB1_///_LOC101060835
1559459_at,LOC613266
205728_at,TENM1
214608_s_at,EYA1
228262_at,MAP7D2
238877_at,EYA4
200665_s_at,SPARC
236293_at,RHOH
224341_x_at,TLR4
228974_at,ZNF677
211981_at,COL4A1
236277_at,---
201839_s_at,EPCAM
1554921_a_at,SCEL
202765_s_at,FBN1
202718_at,IGFBP2
208747_s_at,C1S
213800_at,CFH
211796_s_at,TRBC1
205893_at,NLGN1
205670_at,GAL3ST1
209292_at,ID4
226864_at,PKIA
222925_at,DCDC2
201150_s_at,TIMP3
204619_s_at,VCAN
202310_s_at,COL1A1
213797_at,RSAD2
211029_x_at,FGF18
226695_at,PRRX1
236297_at,---
205030_at,FABP7
209829_at,FAM65B
230573_at,SGK2
219985_at,HS3ST3A1
232164_s_at,EPPK1
227646_at,EBF1
235489_at,RHOJ
213765_at,MFAP5
224964_s_at,GNG2
218806_s_at,VAV3
230193_at,WDR66
212344_at,SULF1
230309_at,BHMT2
202952_s_at,ADAM12
227803_at,ENPP5
204674_at,LRMP
218717_s_at,LEPREL1
219856_at,C1orf116
213416_at,ITGA4
209840_s_at,LRRN3
230746_s_at,---
219630_at,PDZK1IP1
225809_at,PARM1
214053_at,ERBB4
206987_x_at,FGF18
231798_at,NOG
227671_at,XIST
212865_s_at,COL14A1
206354_at,SLCO1B3
204846_at,CP
213790_at,ADAM12
209469_at,GPM6A
212158_at,SDC2
